sum_error,avg_error,probe_selection,probe_set_number,distance_function,threshold,alpha,104.16.123.96,192.112.36.4,192.203.230.10,192.33.4.12,192.36.148.17,192.5.5.241,192.58.128.30,193.0.14.129,198.41.0.4,198.97.190.53,199.7.83.42,199.7.91.13,199.9.14.201,202.12.27.33
2.6965981056454202,0.19261415040324428,area,300,constant_1.52,30,1,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.33333333333333337,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.6965981056454202,0.19261415040324428,area,300,constant_1.52,30,0.9,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.33333333333333337,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.6965981056454202,0.19261415040324428,area,300,constant_1.52,30,0.8,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.33333333333333337,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.6965981056454202,0.19261415040324428,area,300,constant_1.52,20,1,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.33333333333333337,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.6965981056454202,0.19261415040324428,area,300,constant_1.52,20,0.9,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.33333333333333337,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.6965981056454202,0.19261415040324428,area,300,constant_1.52,20,0.8,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.33333333333333337,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.6965981056454202,0.19261415040324428,area,300,constant_1.52,-1,1,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.33333333333333337,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.6965981056454202,0.19261415040324428,area,300,constant_1.52,-1,0.9,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.33333333333333337,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.6965981056454202,0.19261415040324428,area,300,constant_1.52,-1,0.8,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.33333333333333337,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.784815854752926,0.19891541819663755,area,300,constant_1.52,10,0.6,0.0,0.0,0.038461538461538436,0.25,0.1875,0.13043478260869568,0.21052631578947367,0.0714285714285714,0.25,0.33333333333333337,0.09090909090909083,0.2222222222222222,0.5,0.5
2.8140400243031825,0.20100285887879873,area,1000,constant_1.52,30,0.5,0.12121212121212122,0.0,0.11111111111111116,0.25,0.21052631578947367,0.125,0.12,0.09999999999999998,0.33333333333333337,0.6,0.19999999999999996,0.1428571428571429,0.5,0.0
2.8140400243031825,0.20100285887879873,area,1000,constant_1.52,20,0.5,0.12121212121212122,0.0,0.11111111111111116,0.25,0.21052631578947367,0.125,0.12,0.09999999999999998,0.33333333333333337,0.6,0.19999999999999996,0.1428571428571429,0.5,0.0
2.8140400243031825,0.20100285887879873,area,1000,constant_1.52,10,0.5,0.12121212121212122,0.0,0.11111111111111116,0.25,0.21052631578947367,0.125,0.12,0.09999999999999998,0.33333333333333337,0.6,0.19999999999999996,0.1428571428571429,0.5,0.0
